Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Low Noise Accelerometer X,Low Noise Accelerometer X,Low Noise Accelerometer Y,Low Noise Accelerometer Y,Low Noise Accelerometer Z,Low Noise Accelerometer Z,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Pressure,Pressure,Temperature,Temperature,GSR,GSR,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,kPa,no units,Celcius*,no units,kOhms,
11569505,136608.337402344,2059,-5.65060240963855,2516,-0.144578313253012,1383,8,8736,-5.35622317596567,-544,-0.333537706928265,-13376,8.20110361741263,-41,-0.931297709923664,61,0.625954198473282,-52,0.793893129770992,43223,99.7353859235192,27177,27.5791096425434,50921,1980.55020476909,1493933795091,
11576059,136808.349609375,2060,-5.66265060240964,2517,-0.156626506024096,1386,7.96385542168675,8624,-5.28755364806867,-512,-0.313917841814838,-13424,8.23053341508277,-53,-0.946564885496183,62,0.809160305343511,-35,0.534351145038168,43223,99.7387859840224,27179,27.5909180079654,50920,1982.33973179736,1493933795300,
11582613,137008.361816406,2059,-5.63855421686747,2515,-0.144578313253012,1385,7.97590361445783,8640,-5.29736358062538,-576,-0.353157572041692,-13424,8.23053341508277,-31,-0.763358778625954,50,0.473282442748092,-46,0.702290076335878,43223,99.7387859840224,27179,27.5909180079654,50920,1982.33973179736,1493933795514,
11589167,137208.374023438,2059,-5.63855421686747,2515,-0.144578313253012,1385,7.97590361445783,8704,-5.33660331085224,-608,-0.37277743715512,-13344,8.1814837522992,-45,-0.900763358778626,59,0.687022900763359,-48,0.732824427480916,43220,99.7301042451196,27179,27.5909180079654,50920,1982.33973179736,1493933795699,
11595721,137408.386230469,2059,-5.62650602409639,2514,-0.144578313253012,1383,8,8624,-5.28755364806867,-640,-0.392397302268547,-13392,8.21091354996934,-42,-1.0381679389313,68,0.641221374045801,-60,0.916030534351145,43220,99.7301042451196,27179,27.5909180079654,50919,1984.13249560614,1493933795901,
11602275,137608.3984375,2059,-5.66265060240964,2517,-0.144578313253012,1383,8,8672,-5.31698344573881,-640,-0.392397302268547,-13344,8.1814837522992,-52,-0.717557251908397,47,0.793893129770992,-53,0.809160305343511,43225,99.7445738136466,27179,27.5909180079654,50919,1984.13249560614,1493933796116,
11608829,137808.410644531,2060,-5.66265060240964,2517,-0.156626506024096,1384,7.98795180722892,8704,-5.33660331085224,-608,-0.37277743715512,-13472,8.25996321275291,-50,-0.82442748091603,54,0.763358778625954,-49,0.748091603053435,43225,99.7445738136466,27179,27.5909180079654,50918,1985.92850498508,1493933796314,
11615383,138008.422851563,2060,-5.65060240963855,2516,-0.156626506024096,1386,7.96385542168675,8672,-5.31698344573881,-608,-0.37277743715512,-13296,8.15205395462906,-48,-0.931297709923664,61,0.732824427480916,-52,0.793893129770992,43220,99.7301042451196,27179,27.5909180079654,50917,1987.7277687557,1493933796497,
11621937,138208.435058594,2057,-5.65060240963855,2516,-0.120481927710843,1383,8,8640,-5.29736358062538,-624,-0.382587369711833,-13424,8.23053341508277,-44,-1.11450381679389,73,0.67175572519084,-44,0.67175572519084,43220,99.7301042451196,27179,27.5909180079654,50917,1987.7277687557,1493933796712,
11628491,138408.447265625,2061,-5.65060240963855,2516,-0.168674698795181,1382,8.01204819277108,8672,-5.31698344573881,-592,-0.362967504598406,-13440,8.24034334763948,-29,-0.458015267175573,30,0.442748091603053,-28,0.427480916030534,43221,99.7329981573494,27179,27.5909180079654,50917,1987.7277687557,1493933796900,
